SECTION_INSTRUCTOR_TIME_TREATMENT_STUDENT,STEM_Major,Age,Ethnicity,prior_20,prior_grade,BIOL1010,prior_10,sexual,edu_lvl
J.7.A.F.1,1,20,H,0,0,1,0,0,2
J.7.A.F.2,0,20,ME,0,0,1,0,1,2
J.7.A.F.3,0,20,C,0,0,0,1,0,4
J.7.A.F.4,1,20,H,0,0,1,0,0,2
J.7.A.F.5,1,20,C,0,0,1,0,0,2
J.7.A.F.6,1,19,H,1,0,1,0,0,1
J.7.A.F.7,1,23,H,0,0,0,0,0,4
J.7.A.F.8,0,18,H,0,0,1,0,0,1
J.7.A.F.9,2,20,H,0,0,1,0,0,2
J.7.A.F.10,1,18,H,0,0,1,0,0,1
J.7.A.F.11,0,19,C,0,0,1,0,0,2
J.7.A.F.12,1,27,C,0,0,0,1,1,4
J.7.A.F.14,1,18,C,0,0,1,0,1,1
J.7.A.F.15,2,19,H,0,0,1,0,0,1
J.7.A.F.17,0,19,H,0,0,1,0,0,2
J.7.A.F.18,1,20,C,0,0,0,1,0,2
J.7.A.F.19,0,20,ME,0,0,1,0,0,2
F.4.N.T.1,1,19,H,0,0,1,0,1,2
F.4.N.T.2,1,19,C,0,0,0,1,1,2
F.4.N.T.6,1,20,C,0,0,1,0,0,2
F.4.N.T.7,0,19,C,0,0,1,0,0,1
F.4.N.T.8,1,22,NA,0,0,0,0,1,3
F.4.N.T.9,0,20,C,0,0,1,0,0,2
F.4.N.T.10,1,19,H,0,0,1,0,1,1
F.4.N.T.11,1,20,PI,0,0,0,1,0,2
F.4.N.T.13,1,21,C,0,0,1,0,1,4
F.4.N.T.14,1,18,AA,0,0,1,1,0,1
F.4.N.T.15,0,20,H,0,0,1,0,1,3
F.4.N.T.16,1,19,C,0,0,1,0,0,1
F.4.N.T.17,0,20,C,0,0,1,0,1,2
F.4.N.T.18,1,19,H,0,0,1,0,0,2
F.4.N.T.19,0,20,C,0,0,1,0,0,2
H.5.N.F.1,1,19,AA,0,0,1,0,0,1
H.5.N.F.2,0,19,C,0,0,1,0,0,2
H.5.N.F.3,1,19,H,1,0,1,0,0,1
H.5.N.F.4,2,19,H,0,0,1,0,0,1
H.5.N.F.5,0,20,H,0,0,0,1,0,3
H.5.N.F.6,1,19,H,0,0,0,1,1,2
H.5.N.F.7,0,18,C,0,0,1,0,0,1
H.5.N.F.8,0,19,C,0,0,1,0,0,1
H.5.N.F.9,0,18,H,0,0,0,1,0,1
H.5.N.F.10,1,20,A,0,0,1,1,0,1
H.5.N.F.11,0,20,H,0,0,1,0,0,2
H.5.N.F.12,1,18,H,0,0,1,0,0,1
H.5.N.F.13,1,19,H,0,0,1,0,0,2
H.5.N.F.14,1,19,C,0,0,0,1,0,1
H.5.N.F.15,1,18,A,0,0,1,1,1,1
H.5.N.F.16,1,19,A,0,0,0,1,0,2
H.5.N.F.17,1,18,C,0,0,1,0,0,1
H.5.N.F.18,0,20,C,0,0,1,0,0,1
I.2.P.F.2,0,20,H,0,0,0,1,0,3
I.2.P.F.3,0,20,H,0,0,0,0,0,3
I.2.P.F.5,1,20,H,0,0,1,0,0,3
I.2.P.F.6,0,23,H,0,0,1,0,0,4
I.2.P.F.7,0,21,H,0,0,1,0,0,2
I.2.P.F.8,0,19,H,1,0,1,0,0,2
I.2.P.F.9,1,20,H,0,0,1,0,0,2
I.2.P.F.10,1,19,AA,0,0,1,0,1,2
I.2.P.F.11,1,19,H,0,0,1,0,0,2
I.2.P.F.12,0,20,C,0,0,0,1,0,2
