SECTION_INSTRUCTOR_TIME_TREATMENT_STUDENT,Read_B4,Bk_Notes,Re_read,Resources,Q_Notes,Peer_?s,Inst_?s,Peer_Comm,connections
J.7.A.F.1,5,4,2,3,3,2,3,2,3
J.7.A.F.2,4,4,1,4,1,5,5,2,1
J.7.A.F.3,3,5,2,3,1,2,3,1,1
J.7.A.F.4,4,4,1,1,2,4,3,4,3
J.7.A.F.5,4,5,2,2,1,2,2,2,1
J.7.A.F.6,5,5,3,1,1,3,5,2,2
J.7.A.F.7,4,4,4,1,1,1,1,1,1
J.7.A.F.8,5,4,3,3,4,4,4,3,4
J.7.A.F.10,4,4,2,3,1,4,4,1,4
J.7.A.F.11,1,5,1,4,1,5,5,1,1
J.7.A.F.12,1,2,3,1,1,5,5,1,1
J.7.A.F.13,5,5,3,3,3,5,5,4,3
J.7.A.F.17,2,3,2,2,1,4,4,2,1
F.4.N.T.1,4,4,3,1,3,3,4,4,3
F.4.N.T.2,4,4,2,1,1,3,1,1,1
F.4.N.T.3,5,5,4,4,3,5,3,2,1
F.4.N.T.6,5,5,4,2,1,4,3,1,1
F.4.N.T.7,4,5,1,1,3,1,2,1,1
F.4.N.T.8,1,1,1,3,5,2,2,3,3
F.4.N.T.9,4,3,3,3,5,5,5,4,1
F.4.N.T.10,5,2,1,1,1,5,5,5,1
F.4.N.T.11,5,5,4,1,5,5,1,5,1
F.4.N.T.12,5,5,4,2,2,5,5,5,1
F.4.N.T.13,5,5,4,3,4,4,4,4,3
F.4.N.T.14,5,4,2,1,2,4,5,5,5
F.4.N.T.15,5,1,1,1,1,3,3,2,3
F.4.N.T.16,5,5,3,3,3,4,4,2,3
F.4.N.T.17,4,2,1,1,1,3,4,1,1
F.4.N.T.18,5,5,3,1,1,5,5,4,1
F.4.N.T.19,3,3,2,2,2,4,2,3,2
H.5.N.F.1,5,5,3,2,2,4,3,3,3
H.5.N.F.2,5,4,4,3,2,3,4,3,3
H.5.N.F.3,5,5,5,1,1,3,5,3,3
H.5.N.F.4,5,5,5,3,3,4,4,4,1
H.5.N.F.5,5,5,4,3,1,5,5,4,1
H.5.N.F.6,5,5,3,2,2,4,4,4,4
H.5.N.F.7,5,5,4,1,2,5,5,5,1
H.5.N.F.8,4,5,2,1,1,4,1,3,2
H.5.N.F.9,4,5,4,4,4,5,5,5,4
H.5.N.F.10,5,4,3,3,3,3,2,4,2
H.5.N.F.11,5,2,5,5,1,1,1,1,1
H.5.N.F.12,4,5,3,4,2,5,5,5,4
H.5.N.F.13,5,4,3,3,3,4,4,4,2
H.5.N.F.14,3,1,2,1,1,5,3,2,1
H.5.N.F.15,4,2,3,2,2,3,4,2,3
H.5.N.F.16,5,5,5,3,3,4,4,3,4
H.5.N.F.17,5,5,3,3,2,5,5,1,1
H.5.N.F.18,5,4,3,5,3,5,1,5,1
I.2.P.F.2,5,4,4,3,3,4,3,4,1
I.2.P.F.3,3,3,3,5,3,4,3,3,1
I.2.P.F.8,4,4,3,4,3,4,3,4,3
I.2.P.F.9,4,4,2,2,3,4,3,4,2
I.2.P.F.11,4,4,3,3,2,4,4,3,2
I.2.P.F.13,2,1,2,5,5,4,5,5,4
C.3.A.F.1,6,6,1,1,5,5,5,5,5
C.3.A.F.2,4,4,2,2,4,4,4,2,2
C.3.A.F.3,4,4,4,5,5,5,3,3,3
C.3.A.F.5,4,5,3,3,3,5,5,5,5
C.3.A.F.6,5,5,1,1,1,4,5,3,2
C.3.A.F.7,4,4,1,2,1,4,4,3,1
C.3.A.F.8,5,5,4,2,2,5,5,3,3
C.3.A.F.9,4,4,3,3,4,2,3,2,1
C.3.A.F.10,4,4,3,2,4,4,4,5,3
C.3.A.F.11,4,5,3,3,2,4,5,5,4
C.3.A.F.12,5,5,3,3,3,3,4,2,2
C.3.A.F.13,3,3,3,4,4,3,2,3,2
C.3.A.F.14,5,5,4,4,2,2,5,3,2
C.3.A.F.16,4,5,2,2,2,4,4,4,3
C.3.A.F.17,5,5,4,2,1,5,5,4,5
C.3.A.F.18,5,4,3,2,1,4,5,1,3
C.3.A.F.19,1,1,1,1,1,3,3,1,1
D.6.A.F.1,5,4,4,2,1,3,4,3,3
D.6.A.F.2,5,5,3,2,4,4,4,3,2
D.6.A.F.3,4,4,3,3,3,3,2,2,2
D.6.A.F.4,4,1,1,4,3,5,5,4,4
D.6.A.F.5,3,4,1,1,1,4,5,1,1
